"Date","Price","Open","High","Low","Vol.","Change %"
"26/11/2024","20,922.90","20,871.55","20,944.90","20,832.40","284.90M","0.57%"
"25/11/2024","20,804.89","20,918.76","20,998.48","20,712.38","567.12M","0.14%"
"22/11/2024","20,776.23","20,737.49","20,797.24","20,655.72","286.18M","0.17%"
"21/11/2024","20,740.78","20,775.27","20,814.93","20,436.80","349.75M","0.36%"
"20/11/2024","20,667.10","20,660.84","20,676.57","20,402.54","295.45M","-0.08%"
"19/11/2024","20,684.59","20,435.68","20,696.47","20,423.30","318.23M","0.71%"
"18/11/2024","20,539.19","20,450.21","20,622.28","20,401.26","339.67M","0.71%"
"15/11/2024","20,394.13","20,679.98","20,684.56","20,315.08","402.68M","-2.40%"
"14/11/2024","20,896.67","21,052.07","21,067.66","20,864.02","311.21M","-0.66%"
"13/11/2024","21,036.16","21,049.66","21,154.94","20,955.24","299.09M","-0.16%"
"12/11/2024","21,070.79","21,105.49","21,144.67","20,946.74","302.55M","-0.17%"
"11/11/2024","21,106.59","21,171.24","21,182.03","20,993.48","304.76M","-0.05%"
"08/11/2024","21,117.18","21,083.58","21,155.00","21,050.32","324.48M","0.07%"
"07/11/2024","21,101.57","20,896.41","21,132.80","20,896.41","356.37M","1.54%"
"06/11/2024","20,781.33","20,571.29","20,807.03","20,526.64","448.99M","2.74%"
"05/11/2024","20,227.46","20,042.93","20,249.21","20,042.93","255.44M","1.32%"
"04/11/2024","19,963.60","20,011.55","20,106.99","19,898.57","271.03M","-0.35%"
"01/11/2024","20,033.14","19,955.83","20,162.54","19,950.99","323.83M","0.72%"
"31/10/2024","19,890.41","20,227.19","20,227.19","19,880.26","441.83M","-2.44%"
"30/10/2024","20,387.70","20,510.92","20,559.52","20,378.75","370.22M","-0.79%"
"29/10/2024","20,550.65","20,369.08","20,600.10","20,294.58","284.94M","0.98%"
"28/10/2024","20,351.07","20,455.01","20,470.43","20,344.82","233.56M","0.00%"
"25/10/2024","20,352.02","20,354.91","20,552.82","20,322.25","271.01M","0.59%"
"24/10/2024","20,232.87","20,197.62","20,256.38","20,116.88","269.27M","0.83%"
"23/10/2024","20,066.96","20,303.55","20,312.78","19,934.92","282.27M","-1.55%"
"22/10/2024","20,383.64","20,256.97","20,437.93","20,218.85","237.91M","0.11%"
"21/10/2024","20,361.47","20,280.49","20,386.68","20,193.03","244.98M","0.18%"
"18/10/2024","20,324.04","20,288.48","20,360.29","20,273.55","278.22M","0.66%"
"17/10/2024","20,190.42","20,375.29","20,377.65","20,186.43","270.20M","0.08%"
"16/10/2024","20,174.05","20,172.87","20,200.59","20,036.73","254.38M","0.07%"
"15/10/2024","20,159.83","20,442.77","20,484.31","20,083.55","354.77M","-1.37%"
"14/10/2024","20,439.05","20,366.06","20,493.90","20,355.06","237.84M","0.82%"
"11/10/2024","20,271.97","20,154.84","20,313.20","20,142.18","244.30M","0.15%"
"10/10/2024","20,241.76","20,165.25","20,314.24","20,117.20","239.05M","-0.13%"
"09/10/2024","20,268.86","20,097.56","20,284.42","20,047.86","244.14M","0.80%"
"08/10/2024","20,107.78","19,902.21","20,132.67","19,881.08","265.38M","1.55%"
"07/10/2024","19,800.74","19,954.66","19,990.12","19,763.04","285.93M","-1.17%"
"04/10/2024","20,035.02","20,025.16","20,045.69","19,829.49","262.05M","1.22%"
"03/10/2024","19,793.34","19,712.33","19,902.70","19,688.22","243.83M","-0.05%"
"02/10/2024","19,802.59","19,725.95","19,876.70","19,630.91","238.92M","0.15%"
"01/10/2024","19,773.30","20,046.06","20,056.20","19,622.29","323.24M","-1.43%"
