"Date","Price","Open","High","Low","Vol.","Change %"
"26/12/2024","529.60","528.32","531.24","526.31","19.14M","-0.07%"
"24/12/2024","529.96","524.83","530.05","524.19","17.56M","1.36%"
"23/12/2024","522.87","519.55","523.25","516.13","29.67M","0.81%"
"20/12/2024","518.66","510.44","524.82","509.29","60.53M","0.87%"
"19/12/2024","514.17","521.19","521.76","513.83","46.44M","-0.45%"
"18/12/2024","516.47","535.15","536.88","515.01","54.70M","-3.61%"
"17/12/2024","535.80","536.36","537.48","534.13","28.58M","-0.44%"
"16/12/2024","538.17","533.08","539.15","533.00","31.98M","1.44%"
"13/12/2024","530.53","530.46","533.17","527.30","28.78M","0.77%"
"12/12/2024","526.50","527.68","528.96","526.02","23.58M","-0.65%"
"11/12/2024","529.92","525.00","530.61","524.59","32.17M","1.79%"
"10/12/2024","520.60","523.62","525.38","519.16","24.35M","-0.34%"
"09/12/2024","522.38","525.55","526.35","521.22","20.67M","-0.78%"
"06/12/2024","526.48","522.48","526.72","522.35","23.76M","0.89%"
"05/12/2024","521.81","523.31","524.04","521.42","18.17M","-0.28%"
"04/12/2024","523.26","520.32","523.52","519.60","26.09M","1.24%"
"03/12/2024","516.87","513.95","517.15","513.37","18.60M","0.31%"
"02/12/2024","515.29","511.01","516.26","510.62","25.15M","1.09%"
"29/11/2024","509.74","505.93","510.34","505.31","15.33M","0.88%"
"27/11/2024","505.30","508.17","508.24","501.93","24.96M","-0.79%"
"26/11/2024","509.31","508.08","510.14","507.23","26.56M","0.54%"
"25/11/2024","506.59","509.90","511.45","504.26","26.38M","0.16%"
"22/11/2024","505.79","504.42","506.53","502.78","23.83M","0.16%"
"21/11/2024","504.98","506.24","506.96","497.56","34.53M","0.36%"
"20/11/2024","503.17","503.16","503.48","496.55","29.57M","-0.06%"
"19/11/2024","503.46","497.42","503.95","497.08","24.52M","0.69%"
"18/11/2024","500.02","498.13","502.14","496.73","27.19M","0.69%"
"15/11/2024","496.57","502.94","503.33","494.49","51.46M","-2.38%"
"14/11/2024","508.69","511.91","512.79","507.77","28.68M","-0.69%"
"13/11/2024","512.25","512.40","514.98","509.95","24.57M","-0.13%"
"12/11/2024","512.91","513.77","514.66","509.83","25.84M","-0.18%"
"11/11/2024","513.84","515.37","515.58","510.92","24.17M","-0.06%"
"08/11/2024","514.14","513.03","514.92","512.41","22.92M","0.12%"
"07/11/2024","513.54","508.40","514.33","508.34","32.85M","1.57%"
"06/11/2024","505.58","500.56","506.41","499.60","43.08M","2.72%"
